,City,Cloudiness,country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Yellowknife,40,CA,1553108400,94,62.45,-114.38,46.4,9.17
1,Saldanha,0,PT,1553111246,51,41.42,-6.55,46.72,11.01
2,Rikitea,8,PF,1553111730,99,-23.12,-134.97,78.76,23.76
3,Banda Aceh,68,ID,1553111689,98,5.56,95.32,75.61,1.72
4,Busselton,24,AU,1553111114,50,-33.64,115.35,69.01,18.16
5,Saint-Joseph,0,FR,1553111647,61,43.56,6.97,53.6,4.7
6,Cockburn Town,0,TC,1553111704,96,21.46,-71.14,80.02,4.63
7,Almazar,90,UZ,1553108400,76,40.32,69.01,51.8,11.18
8,Tasiilaq,20,GL,1553107800,34,65.61,-37.64,5.0,19.46
9,Port Alfred,80,ZA,1553111708,91,-33.59,26.89,66.99,1.99
10,Puerto Ayora,20,EC,1553111162,74,-0.74,-90.35,82.99,8.05
11,Dikson,76,RU,1553111732,93,73.51,80.55,20.62,14.58
12,Cape Town,0,ZA,1553111465,67,-33.93,18.42,61.0,13.87
13,Hithadhoo,56,MV,1553111732,100,-0.6,73.08,84.25,4.63
14,Eydhafushi,20,MV,1553111733,95,5.1,73.07,85.69,12.57
15,Vaini,0,IN,1553111733,88,15.34,74.49,62.92,1.39
16,Havoysund,75,NO,1553109600,92,71.0,24.66,35.6,17.22
17,Pisco,0,PE,1553108400,30,-13.71,-76.2,71.6,10.29
18,Pevek,80,RU,1553111144,96,69.7,170.27,-8.18,9.55
19,Dengzhou,76,CN,1553111734,47,32.69,112.08,56.62,6.42
20,Hofn,20,IS,1553108400,55,64.25,-15.21,33.8,11.41
21,Kununurra,0,AU,1553108400,88,-15.77,128.74,78.8,5.82
22,Port Lincoln,56,AU,1553111734,99,-34.72,135.86,63.37,12.24
23,Nikolskoye,90,RU,1553111135,92,59.7,30.79,34.0,8.95
24,Mahebourg,40,MU,1553111041,78,-20.41,57.7,82.4,9.17
25,Kauran,24,PH,1553111735,85,6.79,124.47,67.33,3.62
26,Hilo,90,US,1553110999,68,19.71,-155.08,73.99,5.82
27,Katsuura,75,JP,1553109671,87,33.93,134.5,61.0,24.16
28,Longyearbyen,75,NO,1553109600,74,78.22,15.63,30.2,10.29
29,Faanui,32,PF,1553111735,100,-16.48,-151.75,84.52,6.64
30,Atuona,12,PF,1553111140,99,-9.8,-139.03,82.72,17.72
